rank_2020,city,state,largest_city_in_state,state_capital,federal_capital,population_2020,population_2010,absolute_change,percent_change,land_area_sqmi,land_area_sqkm,pop_density_2020_sqmi,pop_density_sqkm,latitude,longitude
1,New York,New York,TRUE,FALSE,FALSE,8804190,8175133,629057,7.69,300.5  ,778.3 ,29298 ,11312,40°40′N,73°56′W
2,Los Angeles,California,TRUE,FALSE,FALSE,3898747,3792621,106126,2.80,469.5  ,1216.0 ,8304 ,3206,34°01′N,118°25′W
3,Chicago,Illinois,TRUE,FALSE,FALSE,2746388,2695598,50790,1.88,227.7  ,589.7 ,12061 ,4657,41°50′N,87°41′W
4,Houston,Texas,TRUE,FALSE,FALSE,2304580,2099451,205129,9.77,640.4  ,1658.6 ,3599 ,1390,29°47′N,95°23′W
5,Phoenix,Arizona,TRUE,TRUE,FALSE,1608139,1445632,162507,11.24,518.0  ,1341.6 ,3105 ,1199,33°34′N,112°05′W
6,Philadelphia,Pennsylvania,TRUE,FALSE,FALSE,1603797,1526006,77791,5.10,134.4  ,348.1 ,11933 ,4607,40°00′N,75°08′W
7,San Antonio,Texas,FALSE,TRUE,FALSE,1434625,1327407,107218,8.08,498.8  ,1291.9 ,2876 ,1110,29°28′N,98°31′W
8,San Diego,California,FALSE,FALSE,FALSE,1386932,1307402,79530,6.08,325.9  ,844.1 ,4256 ,1643,32°49′N,117°08′W
9,Dallas,Texas,FALSE,FALSE,FALSE,1304379,1197816,106563,8.90,339.6  ,879.6 ,3841 ,1483,32°47′N,96°46′W
10,San Jose,California,FALSE,FALSE,FALSE,1013240,945942,67298,7.11,178.3  ,461.8 ,5683 ,2194,37°17′N,121°49′W
11,Austin,Texas,FALSE,FALSE,FALSE,961855,790390,171465,21.69,319.9  ,828.5 ,3007 ,1161,30°18′N,97°45′W
12,Jacksonville,Florida,TRUE,FALSE,FALSE,949611,821784,127827,15.55,747.3  ,1935.5 ,1271 ,491,30°20′N,81°40′W
13,Fort Worth,Texas,FALSE,FALSE,FALSE,918915,741206,177709,23.98,342.9  ,888.1 ,2646 ,1022,32°47′N,97°20′W
